Name;Tweet Link;Timestamp;Query;Tweet Date;Twitter ID;Handle;Text;Profile URL
Racun Diskonan Lazada;https://twitter.com/AnnisaSuandi2/status/1998767793614065964;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Wed Dec 10 14:52:31 +0000 2025;1467888119554871301;AnnisaSuandi2;"54k!!! 
diskon beli di link ini
https://t.co/22mhRMOWXo

EIGER WOMEN HEXA DRAWSTRING BAG
Promo wts wtb hanya tag diskon beli di link ini
https://t.co/22mhRMOWXo https://t.co/L5SZZt93s9";https://twitter.com/AnnisaSuandi2
elvina - ihsan;https://twitter.com/elvina1902/status/1952719271995318556;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Tue Aug 05 13:12:08 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN VOLGA HAT 1.0 dengan harga Rp179.000. Dapatkan di Shopee sekarang! https://t.co/SjlT0FohG7 https://t.co/g4gRvbS7B3;https://twitter.com/elvina1902
elvina - ihsan;https://twitter.com/elvina1902/status/1978124044663710128;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Tue Oct 14 15:41:38 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN SHORESIDE 2.0 PACK 22L 1A LAPTOP dengan harga Rp479.000. Dapatkan di Shopee sekarang! https://t.co/nmztx26ovG https://t.co/lnueyumXua;https://twitter.com/elvina1902
elvina - ihsan;https://twitter.com/elvina1902/status/1955880439400534437;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Thu Aug 14 06:33:29 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN LUCENT DIGITAL WATCH dengan harga Rp409.000. Dapatkan di Shopee sekarang! https://t.co/zNudSsFJcA https://t.co/JOauGyW7N2;https://twitter.com/elvina1902
elvina - ihsan;https://twitter.com/elvina1902/status/1958343135580606906;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Thu Aug 21 01:39:22 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN VIRERE ROLL STRAP SANDALS dengan harga Rp399.000. Dapatkan di Shopee sekarang! https://t.co/0mjixlXcXa https://t.co/lI8V7aX751;https://twitter.com/elvina1902
elvina - ihsan;https://twitter.com/elvina1902/status/1964177859259281606;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Sat Sep 06 04:04:28 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN VIRERE BACKPACK 20L LAPTOP dengan harga Rp549.000. Dapatkan di Shopee sekarang! https://t.co/ECTChfwaIu https://t.co/xlxSxNwmCK;https://twitter.com/elvina1902
Antasena;https://twitter.com/Anta_sena212/status/1987827048581333034;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Mon Nov 10 10:17:55 +0000 2025;971779140155097088;Anta_sena212;Temukan EIGER WOMEN ROCKMASTER 25 CARRIER di Blibli, harganya Rp829.000! Coba buka link-nya, deh: https://t.co/dSosrTFi3R https://t.co/OGg9hoWiiz;https://twitter.com/Anta_sena212
✨️;https://twitter.com/majutigalangkah/status/1998617575018868984;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Wed Dec 10 04:55:37 +0000 2025;929547918943469569;majutigalangkah;Cek EIGER WOMEN VIRERE BACKPACK 20L LAPTOP dengan harga Rp559.000. Dapatkan di Shopee sekarang! https://t.co/uEo6aEKMWZ https://t.co/eFynlNy7QL;https://twitter.com/majutigalangkah
elvina - ihsan;https://twitter.com/elvina1902/status/1993170327149690924;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Tue Nov 25 04:10:11 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN NUWIE BACKPACK 3IN1 LAPTOP dengan harga Rp679.000. Dapatkan di Shopee sekarang! https://t.co/EsC8SMcnQ0 https://t.co/q91M6ylQMe;https://twitter.com/elvina1902
elvina - ihsan;https://twitter.com/elvina1902/status/1981364583714738207;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Thu Oct 23 14:18:23 +0000 2025;251598820;elvina1902;Temukan Eiger Women Naya Hijab Sport Sleeveless Top seharga Rp190.485. Dapatkan sekarang juga di Shopee! https://t.co/2AsvP3PZma;https://twitter.com/elvina1902
