favorite_count,full_text,lang,quote_count,reply_count,retweet_count,username,remove_user,cleaning,tokenized_Content
20,yeah so i am never leaving arcanetwt i built a home here and i'm gonna live in it,en,0.0,2.0,2.0,i2jinx,yeah so i am never leaving arcanetwt i built a home here and i'm gonna live in it,yeah so i am never leaving arcanetwt i built a home here and i m gonna live in it,"['""yeah""', '""so""', '""i""', '""am""', '""never""', '""leaving""', '""arcanetwt""', '""i""', '""built""', '""a""', '""home""', '""here""', '""and""', '""i""', '""\'m""', '""gon""', '""na""', '""live""', '""in""', '""it""']"
4,Phone attached to your hand 25/8 but now resources are lost to you?,en,4.0,0.0,5.0,IamShainaJaye,Phone attached to your hand 25/8 but now resources are lost to you?,Phone attached to your hand but now resources are lost to you ,"['""Phone""', '""attached""', '""to""', '""your""', '""hand""', '""25/8""', '""but""', '""now""', '""resources""', '""are""', '""lost""', '""to""', '""you""', '""?""']"
618,️ ️ ️ I HAVE foreseen it SESSION 6 Skizz Tango Session 7 Bdubs Session 8 THE FINALE,en,7.0,30.0,19.0,RealitysLie,️ ️ ️ I HAVE foreseen it SESSION 6 Skizz Tango Session 7 Bdubs Session 8 THE FINALE, I HAVE foreseen it SESSION Skizz Tango Session Bdubs Session THE FINALE,"['""️""', '""️""', '""️""', '""I""', '""HAVE""', '""foreseen""', '""it""', '""SESSION""', '""6""', '""Skizz""', '""Tango""', '""Session""', '""7""', '""Bdubs""', '""Session""', '""8""', '""THE""', '""FINALE""']"
389,ekko preparing a confession to jinx in the hexcore's music booth to pass the time: https://t.co/Fo3yqYgpOY,en,4.0,5.0,49.0,skipsurprise,ekko preparing a confession to jinx in the hexcore's music booth to pass the time: https://t.co/Fo3yqYgpOY,ekko preparing a confession to jinx in the hexcore s music booth to pass the time ,"['""ekko""', '""preparing""', '""a""', '""confession""', '""to""', '""jinx""', '""in""', '""the""', '""hexcore""', '""\'s""', '""music""', '""booth""', '""to""', '""pass""', '""the""', '""time""', '"":""', '""https""', '"":""', '""//t.co/Fo3yqYgpOY""']"
82520,arcane fans respectfully league of legends fans DO want to see other region's stories there are 160+ champions arcane showed around 10 without league YOU wouldn't have jinx vi caitlyn etc to fan about please stop,en,2155.0,1177.0,5564.0,shiinypsyduck,arcane fans respectfully league of legends fans DO want to see other region's stories there are 160+ champions arcane showed around 10 without league YOU wouldn't have jinx vi caitlyn etc to fan about please stop,arcane fans respectfully league of legends fans DO want to see other region s stories there are champions arcane showed around without league YOU wouldn t have jinx vi caitlyn etc to fan about please stop,"['""arcane""', '""fans""', '""respectfully""', '""league""', '""of""', '""legends""', '""fans""', '""DO""', '""want""', '""to""', '""see""', '""other""', '""region""', '""\'s""', '""stories""', '""there""', '""are""', '""160+""', '""champions""', '""arcane""', '""showed""', '""around""', '""10""', '""without""', '""league""', '""YOU""', '""would""', '""n\'t""', '""have""', '""jinx""', '""vi""', '""caitlyn""', '""etc""', '""to""', '""fan""', '""about""', '""please""', '""stop""']"
18,The announcers: This kicker has never missed a field ever in his career. Automatic from anywhere!! The Kicker: Misses the kick I swear they always jinx the kicker #PITvsCLE,en,0.0,5.0,2.0,briiashj,The announcers: This kicker has never missed a field ever in his career. Automatic from anywhere!! The Kicker: Misses the kick I swear they always jinx the kicker #PITvsCLE,The announcers This kicker has never missed a field ever in his career Automatic from anywhere The Kicker Misses the kick I swear they always jinx the kicker PITvsCLE,"['""The""', '""announcers""', '"":""', '""This""', '""kicker""', '""has""', '""never""', '""missed""', '""a""', '""field""', '""ever""', '""in""', '""his""', '""career""', '"".""', '""Automatic""', '""from""', '""anywhere""', '""!""', '""!""', '""The""', '""Kicker""', '"":""', '""Misses""', '""the""', '""kick""', '""I""', '""swear""', '""they""', '""always""', '""jinx""', '""the""', '""kicker""', '""#""', '""PITvsCLE""']"
8,hello,en,0.0,4.0,0.0,meowchoso,hello,hello,"['""hello""']"
42,In case no one told you today I m proud of you. For whatever you did even if it s committing arson I m proud of you and you did a good job. ,en,0.0,4.0,2.0,vJinxe,In case no one told you today I m proud of you. For whatever you did even if it s committing arson I m proud of you and you did a good job. ,In case no one told you today I m proud of you For whatever you did even if it s committing arson I m proud of you and you did a good job ,"['""In""', '""case""', '""no""', '""one""', '""told""', '""you""', '""today""', '""I""', '""m""', '""proud""', '""of""', '""you""', '"".""', '""For""', '""whatever""', '""you""', '""did""', '""even""', '""if""', '""it""', '""s""', '""committing""', '""arson""', '""I""', '""m""', '""proud""', '""of""', '""you""', '""and""', '""you""', '""did""', '""a""', '""good""', '""job""', '"".""']"
13,mike tyson please put him down so hard that he shits himself ,en,0.0,2.0,2.0,vJinxe,mike tyson please put him down so hard that he shits himself ,mike tyson please put him down so hard that he shits himself ,"['""mike""', '""tyson""', '""please""', '""put""', '""him""', '""down""', '""so""', '""hard""', '""that""', '""he""', '""shits""', '""himself""']"
49,ekko getting more than 2 seconds of screen time in act 3 ️️️️️️,en,0.0,1.0,8.0,korrasdragon,ekko getting more than 2 seconds of screen time in act 3 ️️️️️️,ekko getting more than seconds of screen time in act ,"['""ekko""', '""getting""', '""more""', '""than""', '""2""', '""seconds""', '""of""', '""screen""', '""time""', '""in""', '""act""', '""3""', '""️️️️️️""']"
