tweet_date,twitter_id,handle,Text,profile_url,name,tweet_link,timestamp,query
Wed Dec 17 13:31:33 +0000 2025,1248500925028696064,peryPolkadot,@awwwatut Eh bawa dulu cobain kan sama Samsung 😭,https://twitter.com/peryPolkadot,myname✨,https://twitter.com/peryPolkadot/status/2001284129506341203,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:28:27 +0000 2025,62448183,acidicted,@samsungID kenapaaa Samsung Free pake di ilangin segala sihh 😭😭😭,https://twitter.com/acidicted,🗨,https://twitter.com/acidicted/status/2001283348648636896,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:27:55 +0000 2025,1956207752696721408,akulahR_,@bbydiraa Dir dia sampe mau sewa samsung sehari buat jastipan harry😭,https://twitter.com/akulahR_,𝓡.,https://twitter.com/akulahR_/status/2001283217303932976,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:27:05 +0000 2025,1274160532015235074,querolivrosbr,"💙 SAMSUNG BARATINHO 📱 Samsung Galaxy A16 5G, 128GB R$618 pix https://t.co/97S0ga6uAj 🎟 APLICAGORA https://t.co/c7RQ76431v",https://twitter.com/querolivrosbr,QueroLivrosBr | Cupons e Ofertas 📚🩷,https://twitter.com/querolivrosbr/status/2001283008238653801,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:22:43 +0000 2025,1479496079695650830,senyumsenyumlu,guyss aku mau jual hp samsung a52s masih ada kardusnya 8/128. jual karena jarang di pakai #zonauang #zonajajan https://t.co/lnnN9RW78l,https://twitter.com/senyumsenyumlu,wod,https://twitter.com/senyumsenyumlu/status/2001281909327106151,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:22:06 +0000 2025,1234664934,yuharamz,@mfselfol Mau gak temenan sama user samsung galaxy z flip6?,https://twitter.com/yuharamz,★,https://twitter.com/yuharamz/status/2001281750878900661,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:20:20 +0000 2025,1807986746266939392,prv_khvr,@akramcodez Samsung,https://twitter.com/prv_khvr,Prakhar,https://twitter.com/prv_khvr/status/2001281306064519454,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:20:10 +0000 2025,1956207752696721408,akulahR_,@kembalilg Pdhl semua samsung pasti galaxy😭,https://twitter.com/akulahR_,𝓡.,https://twitter.com/akulahR_/status/2001281265102950796,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:20:00 +0000 2025,1328164399098433536,503deals,SAMSUNG Galaxy Buds 3 FE https://t.co/FwVX06rCoZ #ad,https://twitter.com/503deals,503 Deals,https://twitter.com/503deals/status/2001281223155679553,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:19:13 +0000 2025,606982543,rent_kstuff,"Open Rent iphone 16 pro &amp; samsung s24 ultra for Riize Riizing Concert Tour in Jakarta by @rent_kstuff ✅ Avail iphone 16 pro &amp; samsung s24 ultra ✅ Include PB + phonestrap + kipas angin, quota, dan segala kelengkapan lain ✅ COD Venue/Pengambilan-pengembalian H-1 &amp; H+1 Tag WTS",https://twitter.com/rent_kstuff,Rental iPhone & Samsung,https://twitter.com/rent_kstuff/status/2001281025998283067,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:18:42 +0000 2025,1441085440430247940,flourbei,omg asik! dr setiap link yg dibuat ada type hp jadulku ini yaitu samsung a52🤤🫰,https://twitter.com/flourbei,𝒇𝒂𝒊,https://twitter.com/flourbei/status/2001280897019236605,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:13:53 +0000 2025,1955979033382150147,haykaenthu,tutor milih hp samsung😔,https://twitter.com/haykaenthu,tataaa.,https://twitter.com/haykaenthu/status/2001279684601102710,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:12:21 +0000 2025,1827981596923961344,masflow212,"@0nam5satu Padahal original Samsung dan Xiaomi loh itu, pake yang wireless ga suka gua tuh",https://twitter.com/masflow212,Wildflower,https://twitter.com/masflow212/status/2001279299018715406,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:11:35 +0000 2025,1688088675534393344,AD_MetaX,@yutozxx @AbidkingB Samsung 👽,https://twitter.com/AD_MetaX,AD,https://twitter.com/AD_MetaX/status/2001279103958143175,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:08:42 +0000 2025,1568995446273773570,lo_myself7,Rekomendasi tablet yg ada slot simcard 1. Samsung galaxy tab s10 lite https://t.co/I8J1kODFJm 2. Infinix xpad 20 pro https://t.co/vHRevLaInq 3. Tecno megapad 11 https://t.co/j0oZKbLgrp,https://twitter.com/lo_myself7,Love Myself | Self Growth & Insight,https://twitter.com/lo_myself7/status/2001278378981388494,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:08:40 +0000 2025,1221670731731230721,korii_______,"@baseconvo Buat yang pakai samsung, manfaatkan fitur auto block dugaan spam dan penipuan. Ini ampuh banget, bisa ngurangin lebih dari 90% panggilan gajelas https://t.co/j7EDstZnXF",https://twitter.com/korii_______,berbaik sangk,https://twitter.com/korii_______/status/2001278372203348088,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:04:10 +0000 2025,1924434020622008322,caramelgrwmeee,@awwwatut lapp sewa samsung flip gue aja noh nganggur,https://twitter.com/caramelgrwmeee,caramel| rest area,https://twitter.com/caramelgrwmeee/status/2001277241045684583,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:04:08 +0000 2025,1549147391151988741,dodinkabharosa,@yutozxx Samsung,https://twitter.com/dodinkabharosa,C A N D Y,https://twitter.com/dodinkabharosa/status/2001277230782312698,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:03:44 +0000 2025,1902585803727106048,pentolbakra,Anjer samsung lg samsung lg,https://twitter.com/pentolbakra,icel,https://twitter.com/pentolbakra/status/2001277132593631406,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:03:33 +0000 2025,1226281741842694144,kazukikun_,wts voc samsung udah include fee langsung dm ajaa 1000 robux 110k #wts #wtb #roblox #robux #vocsamsung #diskon,https://twitter.com/kazukikun_,Kazuki,https://twitter.com/kazukikun_/status/2001277082584928719,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
